num_amostra,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp                                                                                       
1,13796,4576,-4056,-4218,5134,-1206,2704                                                                                                            
2,13344,4748,-368,-582,-5200,-11395,2736                                                                                                            
3,17968,4440,6340,-9465,-13374,-11381,2704                                                                                                          
4,9580,7792,11928,-5135,-8419,-10897,2720                                                                                                           
5,12040,15316,10164,7449,18199,18344,2720                                                                                                           
6,16836,1372,976,8663,12229,-2749,2672                                                                                                              
7,16108,-348,7216,-646,2341,-5973,2608                                                                                                              
8,16628,-400,1704,-9741,-805,-10848,2736                                                                                                            
9,15656,-1168,-2892,-1910,426,-2567,2720                                                                                                            
10,15772,2624,-2808,-7044,-158,3775,2720                                                                                                            
11,16244,1736,-2284,-1263,18,209,2784                                                                                                               
12,16020,2244,-2580,600,-151,-810,2768                                                                                                              
13,16120,2136,-2480,-788,-20,75,2736                                                                                                                
14,16100,2148,-2432,-470,-56,-139,2672
